Symbol,Score
WOCKPHARMA,22
TI,22
AVALON,22
AKZOINDIA,22
LAURUSLABS,22
JPPOWER,22
MONIFTY500,22
EBBETF0431,22
WELCORP,22
HINDUNILVR,22
DIAMONDYD,22
HIMATSEIDE,22
MOTILALOFS,22
ITDC,22
GABRIEL,22
JKPAPER,22
KPRMILL,22
ANTHEM,22
SBILIFE,22
AMBUJACEM,22
APOLLO,22
ORISSAMINE,22
MEDPLUS,22
ASHAPURMIN,22
LUMAXTECH,22
BHEL,22
BERGEPAINT,22
NIACL,22
GALLANTT,22
HBLENGINE,22
HIRECT,22
BAJFINANCE,22
AUTOAXLES,22
BHAGERIA,22
AHCL,22
EPIGRAL,22
AAVAS,22
APOLLOHOSP,22
BBL,22
ARE&M,22
FIEMIND,22
GRSE,22
KRISHNADEF,22
DOMS,22
SAGCEM,22
CANFINHOME,22
UNOMINDA,22
IZMO,22
FOSECOIND,22
IRCON,22
SHARDACROP,22
BBETF0432,22
ANANDRATHI,22
GANECOS,22
TARSONS,22
TRUALT,22
PATELENG,22
TATACAP,22
CDSL,22
TRIVENI,22
CGPOWER,22
HEMIPROP,22
KERNEX,22
EXIDEIND,22
IGARASHI,22
ROHLTD,22
ABREL,22
ASTERDM,22
AARTIDRUGS,22
ABLBL,22
VSSL,22
RELIANCE,22
GROWWGOLD,22
MINDACORP,22
OIL,22
NETWEB,22
AFCONS,22
NHPC,22
MID150BEES,22
VINATIORGA,22
KPEL,22
ALOKINDS,22
GRAVITA,22
SOMANYCERA,22
ROSSTECH,22
TBOTEK,22
PARAGMILK,22
JLHL,22
MUTHOOTFIN,22
CAPLIPOINT,22
CEWATER,22
POKARNA,22
SPAL,22
IKIO,22
DEEPINDS,22
AVANTEL,22
MSTCLTD,22
NESTLEIND,22
RVNL,22
METROPOLIS,22
PREMIERENE,22
KPITTECH,22
JSWENERGY,22
REDTAPE,22
BCG,22
BSE500IETF,22
SANOFICONR,22
BORORENEW,22
JIOFIN,22
AETHER,22
WCIL,22
PAISALO,22
SYNGENE,22
MOMENTUM50,22
QUESS,22
VENTIVE,22
KPIGREEN,22
IRFC,22
GENCON,22
BIOCON,22
BOSCHLTD,22
BRIGADE,22
MOSMALL250,22
BDL,22
WELSPUNLIV,22
MONARCH,22
APARINDS,22
ITI,22
ICICIPRULI,22
MAHLIFE,22
SAMMAANCAP,22
MARICO,22
ABFRL,22
WEL,22
ZYDUSLIFE,22
VAIBHAVGBL,22
MOREALTY,22
KCP,22
MTNL,22
MRF,22
CREDITACC,22
NTPC,22
UDS,22
INDIACEM,22
HDFCNIFTY,22
HAL,22
HLEGLAS,22
BAJAJFINSV,22
JBMA,22
NATCOPHARM,22
EMSLIMITED,22
SKFINDIA,15
ECOSMOBLTY,15
BSLNIFTY,15
VBL,15
AXISBANK,15
MAFANG,15
LTFOODS,15
TRIDENT,15
MOTISONS,15
CARTRADE,15
FILATEX,15
GODREJAGRO,15
KITEX,15
IREDA,15
NAVINFLUOR,15
POCL,15
IDEA,15
LIQUIDBEES,15
UBL,15
VMM,15
GARFIBRES,15
IMAGICAA,15
MIDCAPETF,15
SYRMA,15
OLECTRA,15
JTLIND,15
EBBETF0430,15
BANARISUG,15
NSLNISP,15
MSUMI,15
